r,model,subject,channel
0.4034978066104052,model1,OP0003,Fp1
0.41088833626247095,model2,OP0003,Fp1
0.19671217407899252,model1,OP0003,Fz
0.19014774541928045,model2,OP0003,Fz
0.23571907825721466,model1,OP0003,F3
0.23607456574652322,model2,OP0003,F3
0.2389969311758802,model1,OP0003,F7
0.23997997962294668,model2,OP0003,F7
0.42672518958811456,model1,OP0003,FT9
0.43512042304414467,model2,OP0003,FT9
0.21511105724219276,model1,OP0003,FC1
0.2099712714192735,model2,OP0003,FC1
0.1826141330392388,model1,OP0003,C3
0.1764287927178817,model2,OP0003,C3
0.18225596935995406,model1,OP0003,T7
0.18092280737947647,model2,OP0003,T7
0.09645142783491206,model1,OP0003,TP9
0.10314295274675006,model2,OP0003,TP9
0.17442100450273149,model1,OP0003,CP5
0.17263280839729703,model2,OP0003,CP5
0.14437718898451343,model1,OP0003,CP1
0.1398793761591779,model2,OP0003,CP1
0.13303910794430668,model1,OP0003,Pz
0.13319333764393212,model2,OP0003,Pz
0.1596761278318081,model1,OP0003,P3
0.16253830356287077,model2,OP0003,P3
0.2438287960421917,model1,OP0003,P7
0.2544183218264407,model2,OP0003,P7
0.1562411592271774,model1,OP0003,O1
0.1601100431996592,model2,OP0003,O1
0.24256895593124997,model1,OP0003,Oz
0.27007922521551614,model2,OP0003,Oz
0.17376648243970383,model1,OP0003,O2
0.17852001943677318,model2,OP0003,O2
0.13991692406596187,model1,OP0003,P4
0.14031527324123658,model2,OP0003,P4
0.16038192988676553,model1,OP0003,P8
0.16429817449440462,model2,OP0003,P8
0.10600512122412835,model1,OP0003,TP10
0.11122656913147891,model2,OP0003,TP10
0.1308179584853342,model1,OP0003,CP6
0.1233179175880629,model2,OP0003,CP6
0.13232828572051944,model1,OP0003,CP2
0.12728176264677624,model2,OP0003,CP2
0.13699821577627516,model1,OP0003,Cz
0.13111224661982726,model2,OP0003,Cz
0.17368187265275356,model1,OP0003,C4
0.16112524643146411,model2,OP0003,C4
0.42085794295977647,model1,OP0003,FT10
0.4276402169007704,model2,OP0003,FT10
0.2249026657318421,model1,OP0003,FC6
0.22158931982220503,model2,OP0003,FC6
0.14664005007075054,model1,OP0003,FC2
0.1388368826773748,model2,OP0003,FC2
0.2496284572392847,model1,OP0003,F4
0.24517283798021347,model2,OP0003,F4
0.29734304949958884,model1,OP0003,F8
0.2980488785302396,model2,OP0003,F8
0.29112133205617996,model1,OP0003,Fp2
0.2879795279326082,model2,OP0003,Fp2
0.29710630711479263,model1,OP0003,AF7
0.2973349274318275,model2,OP0003,AF7
0.28158157435345943,model1,OP0003,AF3
0.280275950083284,model2,OP0003,AF3
0.2830390636170528,model1,OP0003,AFz
0.277871227671441,model2,OP0003,AFz
0.23382588018849174,model1,OP0003,F1
0.23287709126244896,model2,OP0003,F1
0.23696690729363987,model1,OP0003,F5
0.2375356027363949,model2,OP0003,F5
0.31063323928714165,model1,OP0003,FT7
0.3108011639044633,model2,OP0003,FT7
0.17731955875029845,model1,OP0003,FC3
0.1728631696502782,model2,OP0003,FC3
0.16184024782730913,model1,OP0003,FCz
0.15674649634639778,model2,OP0003,FCz
0.1450606718515858,model1,OP0003,C1
0.14213530843697697,model2,OP0003,C1
0.19023376747354603,model1,OP0003,C5
0.18652288957549396,model2,OP0003,C5
0.16071798025348671,model1,OP0003,TP7
