r,model,subject,channel
0.08888036803404585,model1e,OP0003,Fp1
0.12296481396756828,model2e,OP0003,Fp1
0.011822935396335275,model1e,OP0003,Fz
0.007170651847424258,model2e,OP0003,Fz
0.0321611784847712,model1e,OP0003,F3
0.04394833943164422,model2e,OP0003,F3
0.03553238782459311,model1e,OP0003,F7
0.048973114258566874,model2e,OP0003,F7
0.12067226010079149,model1e,OP0003,FT9
0.15342193024014927,model2e,OP0003,FT9
0.019110408089550064,model1e,OP0003,FC1
0.018455231873135296,model2e,OP0003,FC1
0.04372630643949851,model1e,OP0003,C3
0.03819158083039968,model2e,OP0003,C3
0.04976174901664459,model1e,OP0003,T7
0.0518177311921822,model2e,OP0003,T7
0.08615659375865685,model1e,OP0003,TP9
0.09306423552853353,model2e,OP0003,TP9
0.0826489595795358,model1e,OP0003,CP5
0.0827982139024134,model2e,OP0003,CP5
0.045785997930064375,model1e,OP0003,CP1
0.04456764647499926,model2e,OP0003,CP1
0.048469211612617864,model1e,OP0003,Pz
0.05460192982264382,model2e,OP0003,Pz
0.09926508291487925,model1e,OP0003,P3
0.1048855168341792,model2e,OP0003,P3
0.16433435867006818,model1e,OP0003,P7
0.18169810970205497,model2e,OP0003,P7
0.1074222289533193,model1e,OP0003,O1
0.11467595333150653,model2e,OP0003,O1
0.17800484670982444,model1e,OP0003,Oz
0.21684512831049735,model2e,OP0003,Oz
0.1194483805160076,model1e,OP0003,O2
0.12929112794474923,model2e,OP0003,O2
0.09062541925304018,model1e,OP0003,P4
0.09367135127493618,model2e,OP0003,P4
0.11957547392630971,model1e,OP0003,P8
0.12603712883381105,model2e,OP0003,P8
0.09787122536531045,model1e,OP0003,TP10
0.1027315699748611,model2e,OP0003,TP10
0.06849577802042696,model1e,OP0003,CP6
0.06189466928443653,model2e,OP0003,CP6
0.05508827328355449,model1e,OP0003,CP2
0.05278512876114385,model2e,OP0003,CP2
0.03572452611993798,model1e,OP0003,Cz
0.033740234716618266,model2e,OP0003,Cz
0.022812870841474757,model1e,OP0003,C4
0.008161248481770005,model2e,OP0003,C4
0.16187974590353196,model1e,OP0003,FT10
0.18485184732794904,model2e,OP0003,FT10
0.003447290331749929,model1e,OP0003,FC6
0.005235696189536804,model2e,OP0003,FC6
0.036517647223200556,model1e,OP0003,FC2
0.02958614830900172,model2e,OP0003,FC2
0.010295973871753062,model1e,OP0003,F4
0.011419280511582123,model2e,OP0003,F4
0.05682862515430847,model1e,OP0003,F8
0.07032811212018716,model2e,OP0003,F8
0.03781227994939705,model1e,OP0003,Fp2
0.03833081234563171,model2e,OP0003,Fp2
0.03514452560376429,model1e,OP0003,AF7
0.05061792885710074,model2e,OP0003,AF7
0.018269000168334465,model1e,OP0003,AF3
0.02905831283623684,model2e,OP0003,AF3
0.006954626309602706,model1e,OP0003,AFz
0.007647163455335969,model2e,OP0003,AFz
0.028007195680185743,model1e,OP0003,F1
0.03684402314160399,model2e,OP0003,F1
0.03291417501143864,model1e,OP0003,F5
0.04534409490105235,model2e,OP0003,F5
0.04323716889143684,model1e,OP0003,FT7
0.059219162400878926,model2e,OP0003,FT7
0.037599746736102065,model1e,OP0003,FC3
0.03542985658858215,model2e,OP0003,FC3
0.020595994718507954,model1e,OP0003,FCz
0.01984886108902297,model2e,OP0003,FCz
0.05201057711956441,model1e,OP0003,C1
0.052095853016645224,model2e,OP0003,C1
0.06115763288560346,model1e,OP0003,C5
0.058273108631792706,model2e,OP0003,C5
0.09937855694584359,model1e,OP0003,TP7
0.10251892107238839,model2e,OP0003,TP7
0.07283195144057207,model1e,OP0003,CP3
0.0669950812356995,model2e,OP0003,CP3
0.09653203305809899,model1e,OP0003,P1
0.10190919991064762,model2e,OP0003,P1
0.10943460642314652,model1e,OP0003,P5
0.11832891996941332,model2e,OP0003,P5
0.12536271232194965,model1e,OP0003,PO7
0.13674251189285208,model2e,OP0003,PO7
0.0959492152643343,model1e,OP0003,PO3
0.10564525914496325,model2e,OP0003,PO3
0.057107659137252714,model1e,OP0003,POz
0.06463200125196207,model2e,OP0003,POz
0.07683264941325149,model1e,OP0003,PO4
0.08576778619578197,model2e,OP0003,PO4
0.10631786335865136,model1e,OP0003,PO8
0.11366963244058736,model2e,OP0003,PO8
0.11884848458961139,model1e,OP0003,P6
0.12668128860195033,model2e,OP0003,P6
0.04404502646240153,model1e,OP0003,P2
0.054255445637349534,model2e,OP0003,P2
0.049452598682958204,model1e,OP0003,CPz
0.04879208832637375,model2e,OP0003,CPz
0.028313310679138143,model1e,OP0003,CP4
0.020295228981824332,model2e,OP0003,CP4
0.0688476148988455,model1e,OP0003,TP8
0.06214440316851534,model2e,OP0003,TP8
0.017997130124389218,model1e,OP0003,C6
0.007182802664278098,model2e,OP0003,C6
0.026975692362368447,model1e,OP0003,C2
0.02275002334022582,model2e,OP0003,C2
0.004563231259468789,model1e,OP0003,FC4
-0.0013677088360016484,model2e,OP0003,FC4
0.04600466212089758,model1e,OP0003,FT8
0.05481976236736944,model2e,OP0003,FT8
0.025785956667472576,model1e,OP0003,F6
0.02472776984698354,model2e,OP0003,F6
0.01596851089350035,model1e,OP0003,F2
0.010030516851098235,model2e,OP0003,F2
0.027873834129875815,model1e,OP0003,AF4
0.0338342564500958,model2e,OP0003,AF4
0.0654198278442024,model1e,OP0003,AF8
0.07102430611619408,model2e,OP0003,AF8
0.020167131004024296,model1e,OP0004,Fp1
0.026288410185716534,model2e,OP0004,Fp1
0.019804065765602695,model1e,OP0004,Fz
0.029380634353690146,model2e,OP0004,Fz
0.019697128123296416,model1e,OP0004,F3
0.039543007624375494,model2e,OP0004,F3
0.024875810942467966,model1e,OP0004,F7
0.037232457844370154,model2e,OP0004,F7
0.04269316328663968,model1e,OP0004,FT9
0.044446421268774565,model2e,OP0004,FT9
