Subject,Cond,N100_amp,P200_amp,N100_latency,P200_latency,peak_to_peak
OP0001,Echo,-1.8271819361516437e-07,4.772741962099318e-06,0.1171875,0.2109375,4.955460155714482e-06
OP0001,Echo,3.95147140549669e-06,1.6920960720792668e-05,0.140625,0.1953125,1.2969489315295978e-05
OP0001,Echo,6.957329970162156e-06,1.332635393749507e-05,0.09375,0.1875,6.369023967332913e-06
OP0001,Echo,-4.3264360661456325e-08,7.217821388021879e-06,0.0859375,0.1640625,7.261085748683335e-06
OP0001,Echo,-4.059741082238885e-07,2.969735111628711e-07,0.1171875,0.2109375,7.029476193867596e-07
OP0001,Echo,-1.8457183470194364e-06,-1.9642540592934015e-06,0.1484375,0.171875,1.1853571227396514e-07
OP0001,Echo,-6.0841521624344475e-06,5.908933288992477e-06,0.140625,0.1796875,1.1993085451426925e-05
OP0001,Echo,-1.5106000680632387e-05,1.5234218863182676e-06,0.1328125,0.2421875,1.6629422566950655e-05
OP0001,Echo,-2.8577468167922953e-06,1.016206040387707e-06,0.1484375,0.1640625,3.873952857180002e-06
OP0001,Echo,-6.834543998188623e-06,1.1728732796899887e-05,0.0859375,0.2265625,1.856327679508851e-05
OP0001,Echo,3.5684713976070475e-06,3.2169349022409168e-06,0.125,0.2421875,3.515364953661307e-07
OP0001,Echo,-2.470103203345621e-06,7.406882469942437e-06,0.1015625,0.1796875,9.876985673288058e-06
OP0001,Echo,-5.861385846018741e-06,7.1285570615100365e-06,0.1015625,0.203125,1.2989942907528776e-05
OP0001,Echo,-1.043297936242669e-06,5.349689236134885e-06,0.1015625,0.234375,6.392987172377554e-06
OP0001,Echo,2.5764998771552207e-07,1.3022528509807085e-05,0.1484375,0.203125,1.2764878522091563e-05
OP0001,Echo,-8.639063769468364e-06,7.882224831084169e-07,0.1015625,0.203125,9.42728625257678e-06
OP0001,Echo,2.360841337865941e-06,6.4260180455021085e-06,0.140625,0.1875,4.0651767076361674e-06
OP0001,Echo,-1.1049002805532428e-05,-1.904048464656197e-06,0.0859375,0.2421875,9.144954340876232e-06
OP0001,Echo,-4.160515350544326e-06,5.246247198584548e-06,0.1484375,0.2421875,9.406762549128873e-06
OP0001,Echo,-1.8704632529410945e-06,3.4685925741911267e-06,0.1015625,0.1640625,5.339055827132221e-06
OP0001,Echo,-1.1295848607244106e-05,8.679077481561519e-06,0.1328125,0.2421875,1.9974926088805626e-05
OP0001,Echo,-2.7540597639878114e-06,2.275151991191601e-06,0.140625,0.171875,5.029211755179412e-06
OP0001,Echo,-4.870547959935622e-06,5.262407779222493e-06,0.1328125,0.1953125,1.0132955739158114e-05
OP0001,Echo,-7.68820650432259e-06,5.445373987936598e-06,0.125,0.2421875,1.3133580492259189e-05
OP0001,Echo,2.4429272124876055e-06,4.177172500984027e-06,0.140625,0.15625,1.7342452884964217e-06
OP0001,Echo,-1.2876502698481789e-06,4.841977638438838e-06,0.125,0.1875,6.129627908287018e-06
OP0001,Echo,-2.195630762298425e-06,3.4349412899902193e-06,0.0859375,0.2109375,5.630572052288645e-06
OP0001,Echo,-3.035231073943726e-06,3.7404883933195573e-06,0.1484375,0.2265625,6.775719467263283e-06
OP0001,Echo,-7.5019459459067e-07,7.945908137356069e-06,0.125,0.15625,8.696102731946738e-06
OP0001,Echo,2.696501900194643e-06,6.645737457534899e-06,0.140625,0.1640625,3.949235557340256e-06
OP0001,Echo,-3.4764244852416353e-06,4.980674833569673e-06,0.09375,0.171875,8.457099318811309e-06
OP0001,Echo,-2.7845055794924272e-05,1.3343541121508219e-05,0.125,0.2421875,4.118859691643249e-05
OP0001,Echo,-8.1595281467357e-06,1.2971094314793576e-06,0.0859375,0.2109375,9.456637578215057e-06
OP0001,Echo,-7.584064819651366e-06,1.2618575938499017e-05,0.09375,0.2421875,2.0202640758150383e-05
OP0001,Echo,-3.763569355434493e-06,1.2897881883427643e-05,0.125,0.1796875,1.6661451238862135e-05
OP0001,Echo,-1.1170787773132825e-05,4.178905732408609e-06,0.1484375,0.1796875,1.5349693505541434e-05
OP0001,Echo,-8.840657446255089e-06,3.5387983798466717e-06,0.1171875,0.203125,1.2379455826101761e-05
OP0001,Echo,-3.0780200398363137e-06,2.929528421524386e-06,0.1484375,0.2265625,6.0075484613607e-06
OP0001,Echo,-6.195598124869406e-06,-3.7625575739030535e-06,0.1484375,0.21875,2.433040550966352e-06
OP0001,Echo,1.90614160977961e-06,6.8771389921642555e-06,0.1484375,0.1875,4.970997382384646e-06
OP0001,Echo,-2.7445435253594003e-06,1.1928020423864843e-05,0.0859375,0.21875,1.4672563949224243e-05
OP0001,Echo,-6.019386720152057e-06,7.174616806538593e-07,0.1328125,0.1640625,6.736848400805917e-06
OP0001,Echo,2.5301767658223125e-06,1.526396071028556e-05,0.1015625,0.15625,1.2733783944463246e-05
OP0001,Echo,2.2300718342106356e-06,5.102641696012472e-06,0.1015625,0.1875,2.8725698618018366e-06
OP0001,Echo,-1.2775449176491758e-06,3.373335622701551e-06,0.0859375,0.203125,4.650880540350727e-06
OP0001,Echo,-3.2459666334395435e-06,9.648978295784082e-07,0.140625,0.15625,4.210864463017952e-06
OP0001,Echo,-3.398198430898954e-07,9.827359668276032e-06,0.1484375,0.234375,1.0167179511365927e-05
OP0001,Echo,-7.531066645380505e-06,7.544593044727406e-06,0.1328125,0.1796875,1.507565969010791e-05
OP0001,Echo,-1.3420152389666661e-05,7.241828268629349e-06,0.109375,0.234375,2.066198065829601e-05
OP0001,Echo,-5.902331710891544e-06,4.4856575035974985e-06,0.140625,0.1796875,1.0387989214489043e-05
OP0001,Echo,-1.0520218188987515e-05,1.283475970777119e-05,0.1328125,0.171875,2.3354977896758707e-05
OP0001,Echo,-7.414758227082545e-06,2.0639934145581194e-05,0.125,0.2421875,2.805469237266374e-05
OP0001,Echo,-1.0626160284881789e-05,4.882754028711544e-06,0.1171875,0.1953125,1.5508914313593333e-05
OP0001,Echo,-4.375611287427359e-06,1.8311627917289944e-06,0.109375,0.21875,6.206774079156353e-06
OP0001,Echo,2.061933476446009e-06,2.996238164562258e-06,0.1484375,0.1875,9.343046881162491e-07
OP0001,Echo,-6.066579544933756e-06,3.732211268223796e-06,0.109375,0.1640625,9.798790813157553e-06
OP0001,Echo,-7.1639972004115085e-06,1.1409932858559173e-05,0.1484375,0.2109375,1.857393005897068e-05
OP0001,Echo,-2.026106318731287e-06,1.4758097297876051e-05,0.1484375,0.1875,1.678420361660734e-05
OP0001,Echo,-4.411033358330954e-06,2.4260061621259977e-06,0.1328125,0.2421875,6.837039520456952e-06
OP0001,Echo,-9.410705113452854e-07,1.0757798338986465e-05,0.0859375,0.1796875,1.169886885033175e-05
OP0001,Echo,-1.1988112518429904e-06,7.330710817361991e-06,0.1015625,0.15625,8.529522069204981e-06
OP0001,Echo,-5.260147077228657e-06,9.33751540407612e-06,0.1015625,0.2265625,1.4597662481304777e-05
OP0001,Echo,-2.453574529878265e-06,5.375668216648653e-06,0.1171875,0.2265625,7.829242746526917e-06
OP0001,Echo,-1.2076017749796034e-05,6.389014602854428e-06,0.1171875,0.15625,1.8465032352650463e-05
OP0001,Echo,3.97064056759615e-06,7.982798807650474e-06,0.1015625,0.15625,4.012158240054324e-06
OP0001,Echo,-6.988112682569721e-06,5.618201315428986e-06,0.09375,0.2265625,1.2606313997998708e-05
OP0001,Echo,-1.16603492779424e-05,1.1824292441792081e-06,0.1015625,0.2109375,1.2842778522121607e-05
OP0001,Echo,-9.493327153812111e-06,9.495175052072777e-06,0.125,0.21875,1.898850220588489e-05
OP0001,Echo,-1.2823026822935382e-05,1.710008732269066e-05,0.125,0.171875,2.992311414562604e-05
OP0001,Echo,-1.3645933403357262e-06,1.359935942741974e-05,0.140625,0.21875,1.4963952767755468e-05
OP0001,Echo,-4.545416567098548e-06,2.3111884239009056e-05,0.1015625,0.234375,2.7657300806107605e-05
OP0001,Echo,-1.4829445731528657e-05,1.3134959176048642e-05,0.125,0.171875,2.79644049075773e-05
OP0001,Echo,-1.049612128716174e-06,3.875006542968642e-06,0.0859375,0.1953125,4.924618671684816e-06
OP0001,Echo,-4.09149544722809e-06,9.780148906401332e-06,0.1484375,0.203125,1.3871644353629421e-05
OP0001,Echo,1.7988117969575744e-06,1.8673672675720128e-05,0.0859375,0.1953125,1.6874860878762555e-05
OP0001,Echo,1.7288771102624803e-07,4.216078111592567e-06,0.1484375,0.1796875,4.043190400566319e-06
OP0001,Echo,-7.5087228343907204e-06,1.4136695154758111e-05,0.1171875,0.15625,2.164541798914883e-05
OP0001,Echo,-7.2865010643280305e-06,6.934165882875832e-06,0.1328125,0.1796875,1.4220666947203863e-05
OP0001,Echo,-1.4556927439252545e-06,4.696202185775592e-06,0.1484375,0.203125,6.151894929700847e-06
OP0001,Echo,-3.10449769907766e-06,7.311263477124295e-06,0.1015625,0.21875,1.0415761176201955e-05
OP0001,Echo,-4.475062745622859e-06,3.837521546286899e-06,0.1015625,0.21875,8.312584291909758e-06
OP0001,Echo,-4.377522185432704e-06,2.9796548264129826e-06,0.09375,0.203125,7.357177011845686e-06
OP0001,Echo,-5.6339934429376e-06,1.0330478033976735e-05,0.09375,0.2265625,1.5964471476914335e-05
OP0001,Echo,-1.8267250228031946e-05,1.521699836763546e-05,0.0859375,0.2109375,3.348424859566741e-05
OP0001,Echo,3.5631785040162478e-06,4.8514607397335755e-06,0.09375,0.1875,1.2882822357173277e-06
OP0001,Echo,-6.3187352700992295e-06,5.1697955293625515e-06,0.1171875,0.234375,1.148853079946178e-05
OP0001,Echo,1.956210706858425e-06,9.0561175931272e-06,0.0859375,0.203125,7.099906886268776e-06
OP0001,Echo,-8.61911220879795e-06,8.205137522236698e-06,0.1015625,0.2265625,1.6824249731034646e-05
OP0001,Echo,-1.9180596571166745e-06,5.092386224095706e-06,0.140625,0.171875,7.0104458812123805e-06
