subject,model,channel,r_value,p_value,best_alpha
OP0003,model1,Fp1,0.4297615653242054,0.0,1438.4498882876599
OP0003,model1,Fz,0.1828528988006575,0.0,1438.4498882876599
OP0003,model1,F3,0.2251910864582224,0.0,1438.4498882876599
OP0003,model1,F7,0.22908918867952136,0.0,1438.4498882876599
OP0003,model1,FT9,0.4714554696969343,0.0,1438.4498882876599
OP0003,model1,FC1,0.19127003985216748,0.0,1438.4498882876599
OP0003,model1,C3,0.14093188336284362,0.0,1438.4498882876599
OP0003,model1,T7,0.13223068407620914,0.0,1438.4498882876599
OP0003,model1,TP9,0.058417368939167776,0.0,1438.4498882876599
OP0003,model1,CP5,0.11072596031784984,0.0,1438.4498882876599
OP0003,model1,CP1,0.10138236687408522,0.0,1438.4498882876599
OP0003,model1,Pz,0.09327985095387524,0.0,1438.4498882876599
OP0003,model1,P3,0.08902254495695977,0.0,1438.4498882876599
OP0003,model1,P7,0.1691485424657066,0.0,1438.4498882876599
OP0003,model1,O1,0.12453075999502275,0.0,1438.4498882876599
OP0003,model1,Oz,0.18735328047990785,0.0,1438.4498882876599
OP0003,model1,O2,0.1479552896750362,0.0,1438.4498882876599
OP0003,model1,P4,0.08252115348128422,0.0,1438.4498882876599
OP0003,model1,P8,0.10035116900373643,0.0,1438.4498882876599
OP0003,model1,TP10,0.06167857516195172,0.0,1438.4498882876599
OP0003,model1,CP6,0.075457593879104,0.0,1438.4498882876599
OP0003,model1,CP2,0.09868501604580114,0.0,1438.4498882876599
OP0003,model1,Cz,0.11154027307048756,0.0,1438.4498882876599
OP0003,model1,C4,0.1408713843806123,0.0,1438.4498882876599
OP0003,model1,FT10,0.4232296106504127,0.0,1438.4498882876599
OP0003,model1,FC6,0.2315006095152986,0.0,1438.4498882876599
OP0003,model1,FC2,0.12259597677127332,0.0,1438.4498882876599
OP0003,model1,F4,0.23005999292240714,0.0,1438.4498882876599
OP0003,model1,F8,0.30967368635835096,0.0,1438.4498882876599
OP0003,model1,Fp2,0.3158986367155499,0.0,1438.4498882876599
OP0003,model1,AF7,0.307637868174124,0.0,1438.4498882876599
OP0003,model1,AF3,0.2742153674700042,0.0,1438.4498882876599
OP0003,model1,AFz,0.27043151577666624,0.0,1438.4498882876599
OP0003,model1,F1,0.21973492242689915,0.0,1438.4498882876599
OP0003,model1,F5,0.2260824637270588,0.0,1438.4498882876599
OP0003,model1,FT7,0.33596812170722845,0.0,1438.4498882876599
OP0003,model1,FC3,0.1575359390500121,0.0,1438.4498882876599
OP0003,model1,FCz,0.14298377069817256,0.0,1438.4498882876599
OP0003,model1,C1,0.11991591335775767,0.0,1438.4498882876599
OP0003,model1,C5,0.1639329558710273,0.0,1438.4498882876599
OP0003,model1,TP7,0.07776942810688828,0.0,1438.4498882876599
OP0003,model1,CP3,0.09668813542996647,0.0,1438.4498882876599
OP0003,model1,P1,0.08768009294507081,0.0,1438.4498882876599
OP0003,model1,P5,0.09059167301779172,0.0,1438.4498882876599
OP0003,model1,PO7,0.1455277647404302,0.0,1438.4498882876599
OP0003,model1,PO3,0.08051144365103041,0.0,1438.4498882876599
OP0003,model1,POz,0.06803373007778997,0.0,1438.4498882876599
OP0003,model1,PO4,0.06824601627616306,0.0,1438.4498882876599
OP0003,model1,PO8,0.11886932365796662,0.0,1438.4498882876599
OP0003,model1,P6,0.0944117662380235,0.0,1438.4498882876599
OP0003,model1,P2,0.08362883098586596,0.0,1438.4498882876599
OP0003,model1,CPz,0.11465302084192755,0.0,1438.4498882876599
OP0003,model1,CP4,0.11167957542207176,0.0,1438.4498882876599
OP0003,model1,TP8,0.07301088173078292,0.0,1438.4498882876599
OP0003,model1,C6,0.19164077563136608,0.0,1438.4498882876599
OP0003,model1,C2,0.13055437565915484,0.0,1438.4498882876599
OP0003,model1,FC4,0.1965408551208515,0.0,1438.4498882876599
OP0003,model1,FT8,0.36104039254674414,0.0,1438.4498882876599
OP0003,model1,F6,0.2221501963426109,0.0,1438.4498882876599
OP0003,model1,F2,0.14562441704401122,0.0,1438.4498882876599
OP0003,model1,AF4,0.2941025481627458,0.0,1438.4498882876599
OP0003,model1,AF8,0.3294754424155937,0.0,1438.4498882876599
OP0003,model1e,Fp1,0.06524448319650336,0.0,545.5594781168513
OP0003,model1e,Fz,0.008332574962202216,0.2,545.5594781168513
OP0003,model1e,F3,0.02644634172123159,0.0,545.5594781168513
OP0003,model1e,F7,0.03098020256214005,0.0,545.5594781168513
OP0003,model1e,FT9,0.08285723148339744,0.0,545.5594781168513
OP0003,model1e,FC1,0.0019017891565371527,0.31000000000000005,545.5594781168513
OP0003,model1e,C3,0.01786342285933478,0.0,545.5594781168513
OP0003,model1e,T7,0.038196156365885255,0.0,545.5594781168513
OP0003,model1e,TP9,0.059691343428430674,0.0,545.5594781168513
OP0003,model1e,CP5,0.048121633886428136,0.0,545.5594781168513
OP0003,model1e,CP1,0.007128846546845716,0.25,545.5594781168513
OP0003,model1e,Pz,0.008857095103012242,0.15000000000000002,545.5594781168513
OP0003,model1e,P3,0.037931768898176524,0.0,545.5594781168513
OP0003,model1e,P7,0.09911228757016542,0.0,545.5594781168513
OP0003,model1e,O1,0.05120777554975805,0.0,545.5594781168513
OP0003,model1e,Oz,0.1024826392254061,0.0,545.5594781168513
OP0003,model1e,O2,0.05775311056607081,0.0,545.5594781168513
OP0003,model1e,P4,0.032510426190397984,0.0,545.5594781168513
OP0003,model1e,P8,0.059406334291894576,0.0,545.5594781168513
OP0003,model1e,TP10,0.06431697499612606,0.0,545.5594781168513
OP0003,model1e,CP6,0.041540566125534126,0.0,545.5594781168513
OP0003,model1e,CP2,0.02837697374472377,0.0,545.5594781168513
OP0003,model1e,Cz,0.02313629533750472,0.0,545.5594781168513
OP0003,model1e,C4,0.008361549958051252,0.13,545.5594781168513
OP0003,model1e,FT10,0.09980907963515698,0.0,545.5594781168513
OP0003,model1e,FC6,0.026517971203905408,0.0,545.5594781168513
OP0003,model1e,FC2,0.03678543141941281,0.0,545.5594781168513
OP0003,model1e,F4,0.017736332830498455,0.0,545.5594781168513
OP0003,model1e,F8,0.04332695754194546,0.0,545.5594781168513
OP0003,model1e,Fp2,0.041071483184994574,0.0,545.5594781168513
OP0003,model1e,AF7,0.03756499312317284,0.0,545.5594781168513
OP0003,model1e,AF3,0.020170996471912426,0.0,545.5594781168513
OP0003,model1e,AFz,0.03460348532480472,0.0,545.5594781168513
OP0003,model1e,F1,0.01562306132403896,0.0,545.5594781168513
OP0003,model1e,F5,0.027854685675224842,0.0,545.5594781168513
OP0003,model1e,FT7,0.05592660995563566,0.0,545.5594781168513
OP0003,model1e,FC3,0.026323745138872503,0.0,545.5594781168513
OP0003,model1e,FCz,0.009953125485082728,0.17000000000000004,545.5594781168513
OP0003,model1e,C1,0.03380408204427095,0.0,545.5594781168513
